Dataset,Seed,Model,Accuracy,F1_Macro,AUC_ROC,Brier_Score,Log_Loss,Train_Time_s,Predict_Time_s
wine,43,Samyoga Pro,0.9166666666666666,0.9162962962962964,0.9965534465534466,,,136.77944588661194,9.137637376785278
wine,43,Samyoga Go,0.9444444444444444,0.9451526251526252,0.9967532467532468,,,0.1443545818328857,0.0185253620147705
wine,44,Parampara Legacy,0.9722222222222222,0.970961887477314,1.0,,0.0804298375851446,0.4156858921051025,0.0014662742614746
wine,44,Parampara Pro,0.9444444444444444,0.94531328320802,0.9989177489177488,,0.1235199884936733,4.849246501922607,0.0003125667572021
wine,44,Parampara Pro+,0.9444444444444444,0.94531328320802,0.9989177489177488,,0.1235199884936739,4.271246910095215,0.0003137588500976
wine,44,Ananta Legacy,0.4166666666666667,0.2417582417582417,0.6789411976911977,,1.072502979477031,504.09427523612976,1.88024377822876
wine,44,Ananta Pro,0.9722222222222222,0.970961887477314,0.9976356976356976,,0.1236652993542449,378.07807326316833,65.77953696250916
wine,44,Samyoga Legacy,0.8611111111111112,0.8553723138430783,0.949172817922818,,0.7072481455950987,154.39089679718018,0.8071243762969971
wine,44,Samyoga Shadow,0.9444444444444444,0.94531328320802,0.9989177489177488,,,0.1424012184143066,0.0003957748413085
wine,44,Samyoga Pro,0.9444444444444444,0.9451526251526252,0.9965534465534466,,,123.42412877082825,8.023443460464478
wine,44,Samyoga Go,0.9722222222222222,0.9717813051146384,0.9989177489177488,,,0.1094138622283935,0.0163989067077636
iris,42,Samyoga Shadow,0.9666666666666668,0.9665831244778612,0.99,,,0.3823497295379638,0.0002143383026123
iris,43,Samyoga Shadow,0.9666666666666668,0.9665831244778612,0.99,,,0.3861970901489258,0.000199556350708
iris,44,Samyoga Shadow,0.9666666666666668,0.9665831244778612,0.99,,,0.4592800140380859,0.0003633499145507
iris,42,Parampara Legacy,1.0,1.0,1.0,,0.0546794327773257,0.3232662677764892,0.0013034343719482
iris,42,Parampara Pro,0.9333333333333332,0.9333333333333332,0.99,,0.1611645172998172,3.353062391281128,0.0003621578216552
iris,42,Parampara Pro+,0.9333333333333332,0.9333333333333332,0.99,,0.1611645172998172,3.012623310089112,0.0002987384796142
iris,42,Ananta Legacy,0.8,0.8038277511961723,0.9283333333333332,,0.7957407294208956,1225.2586755752563,0.9172446727752686
iris,42,Ananta Pro,0.9,0.899749373433584,0.99,,0.1859513036846897,5.5282816886901855,1.0930593013763428
iris,42,Samyoga Legacy,0.9666666666666668,0.9665831244778612,1.0,,0.1081879788809447,66.2793116569519,0.3354084491729736
iris,42,Samyoga Pro,0.9666666666666668,0.9665831244778612,0.99,,,86.3473916053772,5.393422365188599
iris,42,Samyoga Go,0.9333333333333332,0.9326599326599326,0.9933333333333332,,,0.1319153308868408,0.013040542602539
iris,43,Parampara Legacy,1.0,1.0,1.0,,0.0546794327773257,0.3204264640808105,0.0012242794036865
iris,43,Parampara Pro,0.9333333333333332,0.9333333333333332,0.99,,0.1611645172998172,3.409024953842163,0.0005512237548828
iris,43,Parampara Pro+,0.9333333333333332,0.9333333333333332,0.99,,0.1611645172998172,3.048100233078003,0.0003376007080078
iris,43,Ananta Legacy,0.8,0.797979797979798,0.925,,0.8550963822609174,30.3232855796814,0.3864929676055908
iris,43,Ananta Pro,0.9,0.899749373433584,0.99,,0.1859513036846897,4.4734086990356445,0.8039519786834717
iris,43,Samyoga Legacy,0.9333333333333332,0.9326599326599326,1.0,,0.1717982853188747,66.34133577346802,0.5163428783416748
iris,43,Samyoga Pro,0.9666666666666668,0.9665831244778612,0.97,,,85.03828716278076,5.397785425186157
